name,site_name,most_popular_mainset,most_popular_offset,most_popular_slot2,most_popular_slot4,most_popular_slot6,stats_priority,main_sets,offset_sets,slot2s,slot4s,slot6s,HP_value,ATK_value,DEF_value,SPD_value,CR_value,CD_value,ACC_value,RES_value,error,top_2_sub_stats,top_3_sub_stats,top_4_sub_stats
Lamor,Lamor,NEMESIS,NEMESIS,ATK,CD,ACC,SPD > ATK > CR > HP > CD > ACC > DEF > RES,NEMESIS > WILL,NEMESIS > Unknown,ATK,CD,ACC > DEF,2.14,3.0,1.07,5.0,3.0,1.5,1.15,1.0,,SPD > ATK,SPD > ATK > CR,SPD > ATK > CR > HP
Lanett,Lanett,DESPAIR,REVENGE,SPD,CD,ATK,SPD > CR > ACC > HP > ATK > RES > DEF > CD,DESPAIR > SWIFT > ENERGY > NEMESIS > RAGE > REVENGE > SHIELD > VAMPIRE > VIOLENT,REVENGE > BLADE > Unknown > ACCURACY > ENDURE > FOCUS > NEMESIS > SHIELD > DESTROY > WILL,SPD > ATK > HP > DEF,CD > HP > ATK > CR > DEF > X,ATK > HP > DEF > X,1.74,1.28,1.19,2.86,2.48,1.0,2.1,1.21,,SPD > CR,SPD > CR > ACC,SPD > CR > ACC > HP
Lapis,Lapis,DESPAIR,REVENGE,SPD,CD,ATK,SPD > CR > ACC > HP > ATK > DEF > RES > CD,DESPAIR > VIOLENT > FATAL > BLADE > DESTROY > ENDURE > RAGE > REVENGE > SHIELD > SWIFT,REVENGE > BLADE > FOCUS > Unknown > NEMESIS > ENDURE > ENERGY > SHIELD,SPD > ATK > DEF,CD > HP > ATK > CR > DEF,ATK > HP > DEF > ACC,1.75,1.34,1.14,2.34,2.01,1.0,1.96,1.03,,SPD > CR,SPD > CR > ACC,SPD > CR > ACC > HP
Lariel / Water Chun-Li,Lariel / Water Chun-Li,FATAL,Unknown,ATK,CD,ATK,CR > ATK > SPD > ACC > RES > HP > CD > DEF,FATAL > VIOLENT > RAGE > SWIFT > FIGHT > NEMESIS > REVENGE > UNKNOWN,Unknown > BLADE > ENERGY > NEMESIS > WILL > ENDURE > FIGHT,ATK > SPD > DEF,CD > ATK > DEF,ATK > HP > Unknown,1.29,2.36,1.0,2.18,4.97,1.23,1.73,1.35,,CR > ATK,CR > ATK > SPD,CR > ATK > SPD > ACC
Lavender / Dark Espresso Cookie,Lavender / Dark Espresso Cookie,DESPAIR,Unknown,SPD,CD,ATK,CR > ACC > SPD > ATK > HP > CD > DEF > RES,DESPAIR > REVENGE > VIOLENT > WILL > BLADE > NEMESIS > UNKNOWN,Unknown > SHIELD > DESTROY > FOCUS > NEMESIS > WILL,SPD > HP > ATK,CD > HP > ATK > DEF,ATK > DEF > ACC > Unknown > HP,1.28,1.31,1.0,1.88,2.42,1.16,1.96,1.0,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > ATK
Layla,Layla,DESPAIR,Unknown,SPD,HP,HP,ACC > HP > SPD > CR > RES > ATK > DEF > CD,DESPAIR > VIOLENT,Unknown > FOCUS > BLADE > SHIELD,SPD > ATK,HP > CD > DEF,HP > ACC > ATK > DEF,2.2,1.33,1.12,2.08,1.75,1.0,2.85,1.64,,ACC > HP,ACC > HP > SPD,ACC > HP > SPD > CR
Leah / Light Chun-Li,Leah / Light Chun-Li,SWIFT,BLADE,SPD,CD,ATK,CR > SPD > ATK > CD > HP > ACC > DEF > RES,SWIFT > DESPAIR > FATAL > VAMPIRE,BLADE > WILL > REVENGE > Unknown > NEMESIS,SPD > ATK,CD,ATK,1.25,2.07,1.11,3.17,6.27,1.35,1.12,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > CD
Leo,Leo,VIOLENT,NEMESIS,SPD,CD,ATK,CR > ATK > HP > ACC > SPD > DEF > RES > CD,VIOLENT > VAMPIRE > SWIFT > RAGE > FATAL > UNKNOWN,NEMESIS > BLADE > DESTROY > ENDURE > FOCUS > REVENGE > Unknown > ENERGY > GUARD > SHIELD,SPD > ATK > HP > DEF,CD > CR,ATK > HP > DEF > RES,1.37,1.54,1.22,1.25,5.48,1.0,1.32,1.16,,CR > ATK,CR > ATK > HP,CR > ATK > HP > ACC
Leona,Leona,VIOLENT,WILL,SPD,CD,DEF,CR > SPD > ACC > HP > DEF > RES > ATK > CD,VIOLENT > VAMPIRE > SWIFT > REVENGE,WILL > REVENGE > Unknown > BLADE > DESTROY > ENDURE > FOCUS > GUARD > NEMESIS > SHIELD,SPD > DEF > HP,CD > DEF > HP > CR,DEF > HP > RES,1.9,1.0,1.61,2.65,2.79,1.0,2.1,1.34,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > HP
Leos,Leos,,,,,,,,,,,,,,,,,,,,Failed to process player data for Leos.,,,
Lexy,Lexy,FIGHT,FIGHT,SPD,CD,ATK,CR > ACC > SPD > HP > DEF > ATK > RES > CD,FIGHT > SWIFT > FATAL > RAGE > VAMPIRE > BLADE > VIOLENT > WILL,FIGHT > WILL > FOCUS > BLADE > Unknown > DESTROY > DETERMINATION > NEMESIS > REVENGE > SHIELD,SPD > ATK > HP,CD > DEF > ATK > HP > CR,ATK > HP > ACC > DEF,1.73,1.25,1.35,1.83,2.79,1.0,2.07,1.06,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > HP
Liam,Liam,RAGE,BLADE,SPD,CD,ATK,CR > SPD > ATK > HP > CD > ACC > DEF > RES,RAGE > DESPAIR > VAMPIRE > SWIFT > VIOLENT > FIGHT > NEMESIS > REVENGE > WILL,BLADE > WILL > REVENGE > Unknown > FIGHT > ACCURACY > ENERGY > SHIELD,SPD > ATK,CD > ATK > CR,ATK > HP > DEF,1.51,1.59,1.08,2.13,5.52,1.44,1.3,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > HP
Liebli,Liebli,FATAL,WILL,SPD,ATK,ATK,ACC > SPD > ATK > HP > CR > DEF > RES > CD,FATAL > SWIFT > DESPAIR > WILL > ENERGY > FOCUS > UNKNOWN,WILL > FOCUS > Unknown > ENERGY > BLADE > GUARD > NEMESIS > SHIELD,SPD > ATK > HP,ATK > HP,ATK > DEF,1.85,1.89,1.33,3.26,1.48,1.0,5.28,1.14,,ACC > SPD,ACC > SPD > ATK,ACC > SPD > ATK > HP
Liesel,Liesel,VIOLENT,Unknown,SPD,CD,ATK,SPD > CR > ACC > HP > ATK > DEF > RES > CD,VIOLENT > SWIFT > VAMPIRE > FOCUS > DESPAIR > ENDURE > RAGE > UNKNOWN > ENERGY > FATAL > GUARD > REVENGE,Unknown > WILL > FOCUS > REVENGE > ENERGY > DESTROY > ENDURE > NEMESIS > ACCURACY > BLADE > SHIELD,SPD > ATK > HP,CD > HP > CR > DEF,ATK > HP > ACC > DEF,1.33,1.31,1.25,2.47,2.05,1.0,1.54,1.15,,SPD > CR,SPD > CR > ACC,SPD > CR > ACC > HP
Light Ciri,Light Ciri,VAMPIRE,Unknown,SPD,CD,ATK,ATK > HP > SPD > CR > DEF > RES > ACC > CD,VAMPIRE > VIOLENT,Unknown,SPD,CD > CR,ATK,2.6,2.6,1.18,2.6,1.86,1.0,1.0,1.08,,ATK > HP,ATK > HP > SPD,ATK > HP > SPD > CR
Light Geralt,Light Geralt,WILL,Unknown,SPD,CD,ATK,CR > ACC > SPD > ATK > CD > HP > RES > DEF,WILL,Unknown,SPD,CD,ATK,1.33,2.0,1.0,2.67,8.0,1.6,4.0,1.14,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > ATK
Light Triss,Light Triss,VIOLENT,FOCUS,SPD,HP,HP,ACC > SPD > ATK > DEF > CR > RES > HP > CD,VIOLENT,FOCUS,SPD,HP,HP,1.14,2.67,2.0,4.0,1.6,1.0,8.0,1.33,,ACC > SPD,ACC > SPD > ATK,ACC > SPD > ATK > DEF
Light Yennefer,Light Yennefer,VIOLENT,BLADE,SPD,HP,HP,ACC > RES > SPD > CR > HP > DEF > ATK > CD,VIOLENT > SWIFT,BLADE > FOCUS > NEMESIS > REVENGE > WILL,SPD > DEF > HP,HP > CD > DEF,HP > ATK,1.29,1.03,1.19,1.63,1.55,1.0,2.58,1.72,,ACC > RES,ACC > RES > SPD,ACC > RES > SPD > CR
Liliana,Liliana,VIOLENT,BLADE,SPD,CD,ATK,CR > SPD > ACC > RES > HP > CD > DEF > ATK,VIOLENT,BLADE,SPD,CD,ATK,1.6,1.0,1.14,4.0,8.0,1.33,2.67,2.0,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > RES
Linda,Linda,RAGE,BLADE,SPD,CD,ATK,CR > SPD > ACC > ATK > CD > HP > DEF > RES,RAGE > SWIFT > DESPAIR > BLADE > FATAL > VIOLENT > WILL,BLADE > Unknown > WILL > ENDURE > FOCUS > FIGHT > GUARD > REVENGE > SHIELD,SPD > ATK > HP,CD > HP,ATK > ACC > HP,1.31,1.48,1.04,2.22,3.48,1.31,1.65,1.0,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > ATK
Lindermen,Lindermen,VIOLENT,FOCUS,SPD,DEF,ATK,ACC > SPD > RES > CR > HP > DEF > ATK > CD,VIOLENT > NEMESIS,FOCUS > GUARD > TOLERANCE,SPD,DEF > CD,ATK > HP,1.5,1.11,1.4,2.1,1.62,1.0,4.2,1.91,,ACC > SPD,ACC > SPD > RES,ACC > SPD > RES > CR
Ling Ling,Ling Ling,SWIFT,FOCUS,SPD,CD,ATK,ACC > CR > SPD > HP > ATK > DEF > CD > RES,SWIFT > WILL > VIOLENT > FOCUS > BLADE > DESPAIR > FATAL > UNKNOWN > VAMPIRE,FOCUS > WILL > BLADE > Unknown > ENERGY > ACCURACY > ENDURE > FIGHT > GUARD > REVENGE > SHIELD,SPD > ATK,CD > HP > ATK > CR,ATK > ACC > HP > DEF,1.66,1.4,1.11,2.65,2.65,1.02,2.79,1.0,,ACC > CR,ACC > CR > SPD,ACC > CR > SPD > HP
Lionel / Water Ezio,Lionel / Water Ezio,SWIFT,Unknown,SPD,HP,ACC,SPD > ACC > HP > DEF > ATK > RES > CR > CD,SWIFT > DESPAIR > VIOLENT > NEMESIS > UNKNOWN,Unknown > WILL > FOCUS > DESTROY > ACCURACY > ENHANCE > NEMESIS > SHIELD,SPD > HP,HP > CR > DEF > CD > X > ATK,ACC > HP > ATK,2.27,1.41,1.64,5.05,1.02,1.0,2.67,1.4,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Lisa,Lisa,SWIFT,WILL,SPD,HP,HP,SPD > ACC > HP > DEF > RES > ATK > CR > CD,SWIFT > VIOLENT > ENDURE > ENHANCE > FIGHT > GUARD > NEMESIS > SHIELD > WILL,WILL > Unknown > ENDURE > FIGHT > FOCUS > TOLERANCE > SHIELD > DESTROY > GUARD > NEMESIS > REVENGE,SPD > HP > DEF,HP > DEF > CD > CR > X,HP > ATK > DEF > RES > ACC > Unknown,2.01,1.29,1.66,3.64,1.18,1.0,2.14,1.65,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Liu Mei,Liu Mei,SWIFT,WILL,SPD,HP,HP,SPD > ACC > HP > ATK > DEF > CR > RES > CD,SWIFT > DESPAIR > VIOLENT,WILL > REVENGE > Unknown > NEMESIS > ENERGY > FOCUS > SHIELD,SPD > HP,HP > CR > CD > ATK > DEF,HP > ATK > ACC > DEF,2.09,1.64,1.52,4.75,1.32,1.0,3.82,1.2,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > ATK
Lo,Lo,SWIFT,Unknown,SPD,CD,ATK,CR > ACC > SPD > HP > RES > DEF > ATK > CD,SWIFT > DESPAIR > GUARD > VAMPIRE,Unknown > BLADE > ENDURE > ENERGY > GUARD > NEMESIS > REVENGE,SPD > ATK > DEF,CD > ATK > DEF > HP,ATK > HP,1.63,1.36,1.39,1.68,3.56,1.0,2.38,1.5,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > HP
Logan,Logan,VIOLENT,WILL,SPD,CD,ATK,CR > SPD > ACC > HP > ATK > DEF > CD > RES,VIOLENT > VAMPIRE > RAGE > FATAL > SWIFT > WILL > BLADE > DESPAIR > FOCUS,WILL > BLADE > FOCUS > NEMESIS > DESTROY > ENERGY > GUARD > REVENGE > SHIELD,SPD > ATK,CD > CR,ATK > HP > DEF > X,1.88,1.5,1.18,2.65,5.07,1.08,1.89,1.0,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > HP
Loque,Loque,VIOLENT,FOCUS,SPD,CD,ATK,CR > ACC > SPD > HP > ATK > DEF > RES > CD,VIOLENT > ACCURACY > BLADE > FATAL > SWIFT > DESPAIR > FIGHT > GUARD > RAGE > REVENGE > SHIELD > VAMPIRE > WILL,FOCUS > SHIELD > Unknown > WILL > FIGHT > GUARD > REVENGE > ACCURACY > BLADE > ENERGY,SPD > ATK > HP > DEF,CD > CR > ATK > DEF > HP,ATK > HP > ACC > DEF,1.45,1.27,1.23,2.04,2.79,1.0,2.54,1.07,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > HP
Lora,Lora,DESPAIR,WILL,SPD,HP,HP,ACC > SPD > HP > DEF > RES > CR > ATK > CD,DESPAIR > SWIFT > VIOLENT > SHIELD,WILL > Unknown > FOCUS > DESTROY > ENDURE > NEMESIS > SHIELD,SPD > HP,HP > DEF > CD > X > CR,HP > ACC > DEF > RES,2.05,1.26,1.58,3.79,1.44,1.0,4.1,1.47,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > DEF
Loren,Loren,SWIFT,WILL,SPD,HP,HP,SPD > ACC > HP > DEF > CR > ATK > RES > CD,SWIFT > VIOLENT > ACCURACY > FIGHT,WILL > Unknown > REVENGE > ACCURACY > FIGHT > SHIELD,SPD > ATK,HP > DEF > ATK > CD > CR > X,HP > ACC > ATK > DEF > RES,2.23,1.32,1.65,4.74,1.34,1.0,3.23,1.25,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Louis,Louis,SWIFT,SHIELD,SPD,DEF,HP,SPD > ACC > HP > CR > RES > ATK > DEF > CD,SWIFT > ENERGY > DESPAIR > REVENGE > BLADE > FATAL > FOCUS > GUARD > SHIELD > VAMPIRE > WILL,SHIELD > WILL > FOCUS > GUARD > BLADE > ENERGY > FIGHT > REVENGE > Unknown,SPD > DEF,DEF > HP > CD > ATK,HP > DEF > ACC > RES,1.81,1.3,1.27,3.67,1.73,1.0,3.0,1.69,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > CR
Louise,Louise,VIOLENT,WILL,SPD,HP,HP,SPD > ACC > HP > DEF > RES > CR > ATK > CD,VIOLENT > SWIFT > NEMESIS,WILL > Unknown > GUARD > ENERGY > FOCUS > REVENGE > NEMESIS > SHIELD,SPD > HP,HP > DEF > CR,HP > DEF > RES > X > ATK,2.35,1.28,1.82,4.81,1.32,1.0,2.68,1.76,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Luan,Luan,GUARD,BLADE,DEF,DEF,DEF,CR > RES > ACC > SPD > HP > DEF > CD > ATK,GUARD > RAGE > DESTROY > ENDURE > BLADE > DESPAIR > FATAL > SWIFT > UNKNOWN > VAMPIRE > WILL,BLADE > GUARD > Unknown > DESTROY > ENDURE > REVENGE > FOCUS,DEF > SPD > HP,DEF > CD > HP > ATK > CR,DEF > HP,1.44,1.0,1.28,1.66,2.67,1.1,1.75,1.79,,CR > RES,CR > RES > ACC,CR > RES > ACC > SPD
Lucas,Lucas,VIOLENT,WILL,SPD,CD,ATK,CR > SPD > ATK > HP > ACC > DEF > CD > RES,VIOLENT > VAMPIRE > SWIFT > RAGE > FATAL > SHIELD,WILL > BLADE > REVENGE > DESTROY > ENERGY > SHIELD > FOCUS > NEMESIS > Unknown,SPD > ATK > HP,CD,ATK > HP,1.7,1.89,1.28,3.09,5.62,1.25,1.32,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > HP
Lucasha,Lucasha,VIOLENT,REVENGE,ATK,CD,ATK,CR > SPD > HP > ACC > ATK > RES > CD > DEF,VIOLENT > FATAL > SWIFT > GUARD > ENERGY > RAGE > VAMPIRE > DESPAIR > NEMESIS > REVENGE,REVENGE > BLADE > SHIELD > FOCUS > NEMESIS > Unknown > ENDURE > ENERGY > ENHANCE > WILL,ATK > SPD,CD > HP > CR > DEF,ATK > HP > ACC,1.51,1.24,1.0,1.61,4.86,1.06,1.5,1.12,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ACC
Lucia / Fire Vanilla Cookie,Lucia / Fire Vanilla Cookie,VIOLENT,REVENGE,SPD,HP,HP,SPD > RES > HP > ACC > DEF > ATK > CR > CD,VIOLENT > NEMESIS > REVENGE > SWIFT > DESPAIR > ENERGY > SHIELD > TOLERANCE,REVENGE > WILL > NEMESIS > SHIELD > BLADE > ENDURE > ENERGY > ENHANCE > FOCUS > GUARD,SPD > DEF > HP,HP > DEF > CD > ATK,HP > ATK > DEF > RES,2.09,1.2,1.67,3.2,1.19,1.0,1.67,3.06,,SPD > RES,SPD > RES > HP,SPD > RES > HP > ACC
Lucien,Lucien,RAGE,BLADE,ATK,CD,ATK,CR > HP > ACC > SPD > CD > RES > ATK > DEF,RAGE > FATAL > SWIFT > VIOLENT > DESPAIR > ENDURE > SHIELD > WILL,BLADE > WILL > ENERGY > GUARD > Unknown > ACCURACY > REVENGE > SHIELD,ATK > SPD > HP,CD > ATK > CR,ATK > HP > X,1.6,1.13,1.0,1.44,4.21,1.29,1.49,1.23,,CR > HP,CR > HP > ACC,CR > HP > ACC > SPD
Lucifer,Lucifer,VIOLENT,WILL,SPD,CD,ATK,CR > SPD > HP > ATK > CD > DEF > RES > ACC,VIOLENT > RAGE > FATAL > SWIFT > DESPAIR > ENDURE > FIGHT > REVENGE > WILL,WILL > BLADE > FIGHT > Unknown > DESTROY > NEMESIS > REVENGE > SHIELD,SPD > ATK > HP,CD > CR > HP,ATK > HP,1.64,1.63,1.13,1.85,5.29,1.32,1.0,1.01,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Ludo,Ludo,VIOLENT,WILL,SPD,CD,HP,SPD > ACC > CR > HP > DEF > ATK > RES > CD,VIOLENT > SWIFT > BLADE > DESPAIR > NEMESIS,WILL > Unknown > FOCUS > ENERGY > DESTROY > BLADE > SHIELD > ENDURE > NEMESIS > REVENGE,SPD > ATK > HP,CD > HP > ATK > CR > DEF,HP > ATK > DEF > ACC > X,1.87,1.29,1.31,3.02,2.22,1.0,2.32,1.13,,SPD > ACC,SPD > ACC > CR,SPD > ACC > CR > HP
Luer,Luer,SWIFT,WILL,SPD,ATK,ACC,ACC > SPD > HP > CR > ATK > DEF > RES > CD,SWIFT > DESPAIR > SHIELD > BLADE > FOCUS,WILL > Unknown > FOCUS > SHIELD > ENERGY > GUARD > ACCURACY > ENDURE,SPD > HP > ATK,ATK > HP > DEF > X > CD > CR,ACC > HP > ATK > DEF > RES,1.92,1.4,1.4,3.42,1.51,1.0,4.13,1.29,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > CR
Lukan,Lukan,,,,,,,,,,,,,,,,,,,,Failed to process player data for Lukan.,,,
Lulu,Lulu,VIOLENT,WILL,SPD,HP,HP,SPD > RES > HP > DEF > ACC > CR > ATK > CD,VIOLENT > SWIFT,WILL > NEMESIS > ENDURE > Unknown > ENERGY > REVENGE > BLADE > GUARD,SPD > HP > DEF,HP > DEF > X,HP > RES > DEF,2.46,1.18,1.86,3.88,1.24,1.0,1.55,2.53,,SPD > RES,SPD > RES > HP,SPD > RES > HP > DEF
Lumirecia,Lumirecia,SWIFT,NEMESIS,SPD,HP,HP,SPD > RES > ACC > HP > DEF > CR > ATK > CD,SWIFT > VIOLENT > ENERGY > ENDURE > FOCUS > GUARD > NEMESIS > SHIELD > WILL > DESPAIR > DESTROY > FIGHT > RAGE > REVENGE,NEMESIS > Unknown > ENERGY > FOCUS > DESTROY > ENDURE > GUARD > SHIELD > WILL > TOLERANCE > ENHANCE > FIGHT > REVENGE,SPD > HP > DEF,HP > DEF > CD,HP > DEF > RES > ATK,1.66,1.31,1.55,2.7,1.44,1.0,2.29,2.41,,SPD > RES,SPD > RES > ACC,SPD > RES > ACC > HP
Luna,Luna,RAGE,BLADE,SPD,CD,ATK,CR > SPD > CD > ATK > HP > ACC > RES > DEF,RAGE > SWIFT > FATAL > BLADE > VAMPIRE > DESPAIR > DESTROY > ENDURE > FOCUS > WILL,BLADE > Unknown > DESTROY > SHIELD > ENDURE > ENERGY > ENHANCE > FIGHT > FOCUS > GUARD > NEMESIS > REVENGE > WILL,SPD > ATK,CD > ATK > CR,ATK > HP,1.19,1.39,1.0,2.2,5.43,1.67,1.18,1.03,,CR > SPD,CR > SPD > CD,CR > SPD > CD > ATK
Lupinus,Lupinus,DESPAIR,REVENGE,SPD,CD,ATK,ACC > SPD > CR > HP > DEF > ATK > RES > CD,DESPAIR > SWIFT > GUARD > VIOLENT,REVENGE > FOCUS > BLADE > GUARD > WILL > ENERGY > Unknown,SPD > ATK,CD > HP > CR > DEF,ATK > HP > ACC > DEF,1.55,1.31,1.34,2.57,2.32,1.0,2.65,1.13,,ACC > SPD,ACC > SPD > CR,ACC > SPD > CR > HP
Lusha,Lusha,VAMPIRE,WILL,HP,HP,HP,SPD > CR > HP > ACC > DEF > RES > ATK > CD,VAMPIRE > BLADE > SWIFT > ENERGY > GUARD > RAGE > UNKNOWN > VIOLENT > WILL,WILL > ENERGY > GUARD > SHIELD > Unknown > BLADE > NEMESIS > ENDURE > ENHANCE,HP > SPD,HP > CD > CR,HP > DEF,1.81,1.03,1.37,2.51,2.26,1.0,1.5,1.36,,SPD > CR,SPD > CR > HP,SPD > CR > HP > ACC
Lushen,Lushen,SWIFT,BLADE,SPD,CD,ATK,CR > SPD > ATK > CD > HP > ACC > DEF > RES,SWIFT > RAGE > FATAL > BLADE,BLADE > WILL > Unknown,SPD > ATK,CD,ATK,1.22,1.94,1.06,2.76,6.72,1.64,1.08,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > CD
Lydia,Lydia,NEMESIS,WILL,SPD,CD,ATK,CR > SPD > HP > ATK > DEF > CD > ACC > RES,NEMESIS > VIOLENT > RAGE > VAMPIRE > ENDURE > SHIELD > SWIFT > WILL,WILL > NEMESIS > ENDURE > ENERGY > REVENGE > SHIELD,SPD > HP > ATK,CD,ATK > HP,2.11,1.65,1.21,2.56,5.62,1.16,1.14,1.0,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Lyn,Lyn,RAGE,BLADE,SPD,CD,ATK,CR > SPD > CD > ATK > HP > ACC > DEF > RES,RAGE > SWIFT > FATAL > VIOLENT > WILL > BLADE > FIGHT > NEMESIS > UNKNOWN,BLADE > Unknown > NEMESIS > WILL > FIGHT > SHIELD > DESTROY > ENERGY > GUARD > REVENGE,SPD > ATK > HP > DEF,CD > ATK > HP,ATK > HP > DEF,1.17,1.28,1.08,1.86,5.23,1.55,1.1,1.0,,CR > SPD,CR > SPD > CD,CR > SPD > CD > ATK
Madeleine,Madeleine,VIOLENT,WILL,SPD,HP,HP,SPD > ACC > HP > DEF > RES > CR > ATK > CD,VIOLENT > SWIFT > FIGHT > ENERGY > WILL,WILL > DESTROY > ENDURE > FIGHT > NEMESIS > Unknown > ENERGY > REVENGE,SPD > HP,HP > DEF > CR,HP > DEF > ATK > ACC > RES,1.91,1.19,1.86,2.98,1.57,1.0,2.61,1.75,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Maggi,Maggi,DESPAIR,GUARD,HP,DEF,DEF,ACC > RES > SPD > CR > HP > DEF > ATK > CD,DESPAIR > REVENGE > ENDURE > FOCUS > ENERGY > GUARD > SHIELD > SWIFT > TOLERANCE > VIOLENT > WILL,GUARD > REVENGE > SHIELD > Unknown > FOCUS > DESTROY > DETERMINATION > ENERGY > WILL,HP > DEF > SPD,DEF > HP > CD,DEF > HP,1.56,1.07,1.34,1.71,1.58,1.0,2.89,1.9,,ACC > RES,ACC > RES > SPD,ACC > RES > SPD > CR
Magnum,Magnum,RAGE,BLADE,ATK,CD,ATK,CR > ACC > SPD > ATK > CD > HP > RES > DEF,RAGE > FATAL > REVENGE > SWIFT > VIOLENT > WILL > ENDURE > VAMPIRE,BLADE > WILL > Unknown > REVENGE > DESTROY > FOCUS > SHIELD,ATK > SPD > HP,CD > HP > X,ATK > DEF > HP > Unknown,1.26,1.64,1.0,1.68,6.36,1.46,1.72,1.09,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > ATK
Malaka,Malaka,SWIFT,WILL,SPD,ATK,ATK,ACC > SPD > HP > ATK > CR > DEF > RES > CD,SWIFT > FATAL > FOCUS > SHIELD > VIOLENT > WILL > ENDURE,WILL > FOCUS > Unknown > ENERGY > SHIELD > ENDURE,SPD > ATK > HP,ATK > HP > CD,ATK > ACC > HP > DEF,2.25,1.68,1.34,3.26,1.37,1.0,5.94,1.22,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > ATK
Malite,Malite,ENDURE,WILL,SPD,DEF,DEF,ACC > SPD > RES > HP > DEF > CR > ATK > CD,ENDURE > DESTROY > WILL > SWIFT > FOCUS > GUARD > BLADE > DESPAIR > ENERGY > NEMESIS > SHIELD > VIOLENT,WILL > DESTROY > GUARD > REVENGE > ENDURE > FOCUS > NEMESIS > ENERGY > SHIELD > Unknown,SPD > DEF > ATK > HP,DEF > HP > CD,DEF > RES > HP > ACC > ATK > Unknown,2.37,1.13,1.53,2.57,1.38,1.0,2.64,2.41,,ACC > SPD,ACC > SPD > RES,ACC > SPD > RES > HP
Manannan,Manannan,VIOLENT,WILL,SPD,CD,ATK,CR > SPD > ATK > HP > CD > DEF > ACC > RES,VIOLENT > SWIFT > RAGE > VAMPIRE > FATAL,WILL > BLADE > ENERGY > REVENGE > Unknown > DESTROY > FOCUS > NEMESIS,SPD > ATK,CD,ATK > HP,1.66,1.76,1.2,3.04,6.89,1.37,1.19,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > HP
Manon / Water Hollyberry Cookie,Manon / Water Hollyberry Cookie,VIOLENT,DESTROY,SPD,CD,DEF,CR > SPD > HP > DEF > ACC > ATK > RES > CD,VIOLENT > VAMPIRE > NEMESIS > SWIFT,DESTROY > WILL > NEMESIS > ENERGY > GUARD,SPD > DEF > HP,CD > DEF > CR > HP,DEF > HP > RES,2.48,1.12,1.77,2.8,3.21,1.0,1.4,1.09,,CR > SPD,CR > SPD > HP,CR > SPD > HP > DEF
Mantura,Mantura,DESPAIR,FOCUS,SPD,HP,HP,ACC > SPD > HP > RES > CR > DEF > ATK > CD,DESPAIR > SWIFT > RAGE > SHIELD > WILL,FOCUS > ENDURE > Unknown > WILL > BLADE > ENERGY > GUARD > NEMESIS > REVENGE > SHIELD,SPD > DEF > HP > ATK,HP > DEF > CD > CR,HP > ACC > ATK > DEF > RES,1.96,1.16,1.34,2.62,1.54,1.0,3.21,1.67,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > RES
Manx,Manx,VIOLENT,REVENGE,SPD,HP,HP,SPD > ACC > CR > HP > DEF > RES > ATK > CD,VIOLENT > SWIFT > REVENGE > BLADE > SHIELD > DESTROY > ENDURE > NEMESIS > VAMPIRE,REVENGE > ENERGY > Unknown > WILL > DESTROY > ACCURACY > ENDURE > GUARD > SHIELD,SPD > HP,HP > CD > CR,HP > Unknown > ACC > ATK > DEF > X,2.05,1.28,1.45,2.71,2.12,1.0,2.55,1.39,,SPD > ACC,SPD > ACC > CR,SPD > ACC > CR > HP
